num_custom;id;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987
1;sully2;Charente-Maritime;Charente-Maritime;Charente-Maritime;1;1;1;1;95 (La Rochelle et env.);1250;2;95;non;ms2;1250;1250;La Rochelle;char.;g. sud-ouest;poit.;poit.;g. sud-ouest;sermons;sully2;VRAI
2;alia;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI
3;maur;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;;2;2;nil;1190;4;61;oui;cr3;1170;1210;poit.;poit.;g. sud-ouest;agn.;agn.;agn.;roman epique;#N/A;FAUX
4;chro;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;;2;2;nil;1225;1;68;oui;cr2;1174;1217;poit.;poit.;g. sud-ouest;agn.;agn.;agn.;chronique en octosyllabes;#N/A;FAUX
5;thA;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;;2;2;nil;1190;5;69;oui;ms;1160;1200;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;roman antique;#N/A;FAUX
6;troifr;nil;Angleterre;Angleterre;29;;29;29;nil;1190;86;58;oui;cr1;1170;1190;poit.;poit.;g. sud-ouest;Angleterre;agn.;agn.;roman epique;#N/A;FAUX
7;benoit;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;70 (Vendee);1190;4;70;oui;ms1;1174;1190;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;chronique en vers octosyllabiques;benoit;VRAI
8;turp;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;;2;2;nil;1250;1;66;non;ms;1217;1275;saint.;saint.;g. sud-ouest;poit.;poit.;g. sud-ouest;chronique historique;#N/A;FAUX
9;martin2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;78 (Deux-Sevres);1275;5;78;oui;ms;1225;1290;tour.;tour.;g. sud-ouest;poit.;poit.;g. sud-ouest;vie de saint;martin2;VRAI
10;poit;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;78 (Vendee);1250;4;78;non;ms1;1217;1238;saint.;saint.;g. sud-ouest;saint.;saint.;g. sud-ouest;chronique en prose (relatant les evenements de l'epoque carolingienne);poit;VRAI
11;thebefrag;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;70 (Deux-Sevres);1200;5;70;oui;cr2;1160;1200;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;roman antique;thebefrag;VRAI
12;martin3;Indre, Cher;Indre, Cher;Indre, Cher;4;4;4;4;80 (Indre, Cher);1275;10;80;oui;ms;1225;1290;tour.;tour.;g. sud-ouest;berr.;berr.;g. sud;vie de saint;martin3;VRAI
13;ndchar;Orleanais;Orleanais;Orleanais;5;5;5;5;89 (Orleanais);1250;11;89;oui;ms2;1257;1350;Chartres;eure-et-Loir;g. ouest;Chartres;eure-et-Loir;g. est;recit de miracles en octosyllabes;ndchar;VRAI
14;myst;nil;Angleterre;Angleterre;29;;29;29;nil;1237;86;57;oui;ms2;1175;1238;traits occ. et agn.;;;tour.;tour.;g. sud-ouest;mystere en prose latine et en vers français octo- et decasyllabiques;#N/A;FAUX
15;stsilv;Indre-et-Loire;Indre-et-Loire;Indre-et-Loire;6;6;6;6;71 (Loches et env.);1210;16;71;oui;ms2;1200;1210;Ouest;Ouest;g. ouest;tour.;tour.;g. sud-ouest;vie de Saint;stsilv;VRAI
16;avu;Normandie;Normandie;Normandie;10;10;10;10;76 (Eure);1290;24;76;oui;cr2;1250;1288;Oise;Oise;g. nord;frc.;frc.;g. francien;fabliau;avu;VRAI
17;narcA;nil;nil;Normandie;;;10;10;nil;nil;nil;nil;oui;ms;1165;1287;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;poeme antiquisant;#N/A;FAUX
18;narcE;nil;nil;Normandie;;;10;10;nil;nil;nil;nil;oui;ms;1165;1267;norm.;norm.;g. nord-ouest;art.;art.;g. Nord;nil;#N/A;FAUX
19;chastoi;nil;Normandie;Normandie;10;;10;10;nil;1250;23;66;oui;cr3;1210;1275;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;collection de contes moraux;#N/A;FAUX
20;guil;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;;2;2;nil;nil;5;55;oui;cr2;1223;1237;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;biographie en vers;#N/A;FAUX
21;clef;Normandie;Normandie;Normandie;10;10;10;10;92 (Normandie);nil;22;92;oui;cr;1280;1317;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;imitation de l'Ars Amatoria d'Ovide;clef;VRAI
22;rou1;nil;nil;Normandie;;10;10;10;nil;nil;nil;nil;oui;ms2;1167;1300;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;chronique historique;#N/A;FAUX
23;rou2;nil;nil;Normandie;;10;10;10;nil;nil;nil;nil;oui;ms2;1167;1300;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;chronique historique;#N/A;FAUX
24;rou3b;nil;Angleterre;Angleterre;29;;10;29;nil;1210;86;56;oui;cr2;1167;1210;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;chronique historique;rou3b;VRAI
25;michel;nil;Normandie;Normandie;10;;10;10;nil;nil;23;58;oui;ms;1163;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;norm.;norm.;g. nord-ouest;chronique rimee;#N/A;FAUX
26;narcB;nil;nil;Normandie;;;10;10;nil;nil;nil;nil;oui;ms;1165;1290;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;poeme antiquisant;#N/A;FAUX
27;enf;Normandie;Normandie;Normandie;10;10;10;10;85 (Normandie);1350;22;85;oui;ms;1275;1317;Ouest;Ouest;g. ouest;pic.;pic.;g. nord;poeme evangelique à couplets octosyllabiques apocryphe;enf;VRAI
28;narcC;nil;nil;Normandie;;;10;10;nil;nil;nil;nil;oui;cr1;1165;1290;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;poeme antiquisant;#N/A;FAUX
29;anti;nil;Haute-Marne;Haute-Marne;22;;22;22;nil;1275;61;61;oui;cr;1236;1288;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;poeme allegorique traitant de l'Antechrist;#N/A;FAUX
30;eustache;Normandie;Normandie;Normandie;10;10;10;10;75 (Normandie);1250;22;75;oui;ms2;1210;1250;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;vie de saint en octosyllabes;eustache;VRAI
31;mrgri;nil;Haute-Marne;Haute-Marne;22;;22;22;nil;1275;61;84;oui;cr3;1135;1238;norm.;norm.;g. nord-ouest;tour.;tour.;g. sud-ouest;vie de saint en vers octosyllabiques;mrgri;VRAI
32;narcD;nil;nil;Normandie;;;10;10;nil;nil;nil;nil;oui;ms;1165;1300;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;nil;#N/A;FAUX
33;fab4c;Normandie;Normandie;Normandie;10;10;10;10;84 (Normandie);nil;22;84;oui;ms;1200;1300;pic.;pic.;g. nord;norm.;norm.;g. nord-ouest;fabliau;fab4c;VRAI
34;faba;Normandie;Normandie;Normandie;10;10;10;10;80 (Eure);nil;24;80;oui;ms;1250;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;fabliau;faba;VRAI
35;gepa;Normandie;Normandie;Normandie;10;10;10;10;87 (Normandie);1317;22;87;oui;ms;1316;1318;norm.;norm.;g. nord-ouest;nil;nil;;oeuvre narrative en vers;gepa;VRAI
36;hue;Normandie;Normandie;Normandie;10;10;10;10;83 (Eure);nil;24;83;oui;ms;1250;1287;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;dits;hue;VRAI
37;loys;Normandie;Normandie;Normandie;10;10;10;10;96 (Eure);1310;24;96;non;ms1;1298;1310;multiple;;;nil;nil;;miracles en prose;loys;VRAI
38;nimb2;Normandie;Normandie;Normandie;10;10;10;10;91 (Eure);1350;24;91;oui;ms1;1150;1335;nil;;;Paris;Paris;g. francien;epopee du cycle de Guillaume d'Orange;nimb2;VRAI
39;pers;Normandie;Normandie;Normandie;10;10;10;10;89 (Eure);1350;24;89;oui;ms1;1180;1310;champ. merid.;champ.;g. nord-est;traits norm.;;;nil;pers;VRAI
40;vergib;Normandie;Normandie;Normandie;10;10;10;10;83 (Eure);1290;24;83;oui;ms1;1240;1300;norm.;norm.;g. nord-ouest;norm. ;norm. ;g. nord-ouest;conte courtois en octosyllabes.;vergib;VRAI
41;vergif;Normandie;Normandie;Normandie;10;10;10;10;81 (Normandie);1310;22;81;oui;ms1;1240;1318;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;conte courtois en actosyllabes.;vergif;VRAI
42;vergii;Normandie;Normandie;Normandie;10;10;10;10;85 (Eure);1300;24;85;oui;ms1;1240;1300;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;conte courtois en octosyllabes;vergii;VRAI
43;verson;Normandie;Normandie;Normandie;10;10;10;10;76 (Manche);nil;23;76;oui;ms2;1247;1250;norm.;norm.;g. nord-ouest;nil;nil;;conte;verson;VRAI
44;aiol;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI
45;arr;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Pas-de-Calais sud-est);nil;29;82;non;ms1;nil;1275;nil;;;Arras;Pas-de-Calais;g. nord;hagiographie;arr;VRAI
46;auc;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;non;ms1;1225;1290;pic.;pic.;g. nord;pic.;pic.;g. nord;chantefable en vers et en prose;auc;VRAI
47;aucchants;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;oui;ms1;1225;1290;pic.;pic.;g. nord;pic.;pic.;g. nord;chantefable en vers et en prose;#N/A;FAUX
48;bar;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;95 (Somme, Pas-de-Calais);1310;26;95;oui;cr2;1210;1310;pic.;pic.;g. nord;pic.;pic.;g. nord;conte pieux;bar;VRAI
49;bodo;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;73 (Pas-de-Calais sud-est);nil;29;73;oui;ms2;1200;nil;pic.;pic.;g. nord;nil;nil;;Vie de saint;bodo;VRAI
50;clari2;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;97 (Somme, Pas-de-Calais);1300;26;97;non;ms;1217;1300;pic.;pic.;g. nord;pic.;pic.;g. nord;recit de la quatriï¿_me croisade;clari2;VRAI
51;compoit;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Pas-de-Calais sud-est);1310;29;86;oui;ms;1225;1310;pic.;pic.;g. nord;pic.;pic.;g. nord;roman en vers;compoit;VRAI
52;conperc;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);1210;29;77;oui;ms1;1238;1210;pic.;pic.;g. nord;pic.;pic.;g. nord;roman en vers;conperc;VRAI
53;desp;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;74 (Pas-de-Calais sud-est);1300;29;74;oui;cr2;1238;1300;pic.;pic.;g. nord;Pas-de-Calais;Pas-de-Calais;g. nord;roman d'aventures;desp;VRAI
54;elie;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;79 (Pas-de-Calais sud-est);nil;29;79;oui;nil;1190;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste;elie;VRAI
55;fab4f;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Somme, Pas-de-Calais);nil;26;82;oui;ms;1200;1300;pic.;pic.;g. nord;nil;nil;;fabliau;fab4f;VRAI
56;fabj;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);nil;29;77;oui;ms;1250;1285;pic.;pic.;g. nord;pic.;pic.;g. nord;fabliau;fabj;VRAI
57;lanvalP;nil;nil;Somme, Pas-de-Calais;;;11;11;nil;nil;nil;nil;oui;ms2;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;pic.;pic.;g. nord;lai;#N/A;FAUX
58;durm;nil;Wallonie;Wallonie;16;;16;16;nil;nil;45;66;oui;cr1;1217;1290;pic.;pic.;g. nord;bourg.;bourg.;g. sud-est;roman arthurien;#N/A;FAUX
59;guigP;nil;nil;Somme, Pas-de-Calais;;;11;11;nil;nil;nil;nil;oui;nil;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;pic.;pic.;g. nord;lai;#N/A;FAUX
60;atre;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;;11;11;nil;1290;29;65;oui;cr2;1250;1290;ouest;ouest;g. ouest;pic.;pic.;g. nord;roman arthurien en octosyllabes;#N/A;FAUX
61;perc;nil;Haute-Marne;Haute-Marne;22;;22;22;nil;1290;61;69;oui;ms1;1250;1275;pic.;pic.;g. nord;pic. sept.;pic. ;g. nord;roman arthurien;#N/A;FAUX
62;roma;nil;Haute-Marne;Haute-Marne;22;;22;22;nil;1250;61;64;oui;ms;1188;1250;nil;;;pic.;pic.;g. nord;nil;#N/A;FAUX
63;rombriv;nil;nil;Somme, Pas-de-Calais;;;11;11;nil;nil;nil;nil;oui;ms;1188;1290;nil;;;pic.;pic.;g. nord;nil;#N/A;FAUX
64;songe14;nil;nil;Somme, Pas-de-Calais;;;11;11;nil;nil;nil;nil;non;ms1;1389;1400;pic.;pic.;g. nord;nil;nil;;nil;#N/A;FAUX
65;lancpr;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;;11;11;nil;1310;26;76;non;nil;1220;1316;nil;;;pic.;pic.;g. nord;nil;lancpr;VRAI
66;ombre;nil;Marne;Marne;18;;18;18;nil;nil;53;62;oui;cr1;1221;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;conte courtois;#N/A;FAUX
67;faucon;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;87 (Pas-de-Calais sud-est);nil;29;87;oui;cr;1250;1295;pic.;pic.;g. nord;pic.;pic.;g. nord;poeme moral allegorique où le riche est representï¿_ par un faucon et le pauvre par un poulet;faucon;VRAI
68;feu;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Somme, Pas-de-Calais);1300;26;89;oui;cr3;1276;1295;art.;art.;g. nord;pic.;pic.;g. nord;jeu en octosyllabes;feu;VRAI
69;hyla;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;85 (Somme centre + sud);nil;27;85;non;ms1;1208;1275;Belgique;;g. nord-est;pic.;pic.;g. nord;vie de saint;hyla;VRAI
70;juda;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1250;29;80;oui;ms1;1285;1290;pic.;pic.;g. nord;Nord;Nord;g. nord;traduction en vers;juda;VRAI
71;lanc;Somme, Pas-de-Calais;Ardennes;Somme, Pas-de-Calais;17;11;11;17;76 (Somme, Pas-de-Calais);1275;50;63;non;cr;1220;1275;nil;;;pic.;pic.;g. nord;roman breton en prose;#N/A;FAUX
72;mede;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Pas-de-Calais centre + nord);1250;31;89;non;ms1;1275;1290;Nord;nord;g. nord;pic.;pic.;g. nord;recueil de recettes medicales et magiques precede d'une explication des quatre humeurs;mede;VRAI
73;merlin;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;non;cr1;1213;1310;Sud-Est;Sud-Est;g. sud-est;pic.;pic.;g. nord;roman arthurien;merlin;VRAI
74;miro;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;84 (Pas-de-Calais sud-est);1250;29;84;oui;ms1;1266;1277;pic.;pic.;g. nord;art.;art.;g. Nord;poeme imite de la moralite wallone des sept peches mortels.;miro;VRAI
75;neele;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1288;29;80;oui;ms;1289;1289;pic.;pic.;g. nord;pic.;pic.;g. nord;table des matieres rimee;neele;VRAI
76;nic;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;94 (Somme, Pas-de-Calais);1310;26;94;oui;ms1;1197;1295;art.;art.;g. nord;Arras;Pas-de-Calais;g. nord;nil;nic;VRAI
77;nimc;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;70 (Pas-de-Calais centre + nord);1295;31;70;oui;ms1;1150;1295;nil;;;art.;art.;g. Nord;epopee du cycle de Guillaume d'Orange;nimc;VRAI
78;nouvel;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;94 (Pas-de-Calais sud-est);1275;29;94;oui;ms;1290;1295;Lille;nord;g. nord;Arras;Pas-de-Calais;g. nord;roman en vers;nouvel;VRAI
79;or;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1290;29;83;oui;cr1;1200;1370;pic.;pic.;g. nord;pic.;pic.;g. nord;vie de Saint;or;VRAI
80;pen;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;74 (Pas-de-Calais sud-est);1290;29;74;non;ms2;1275;1283;nil;;;pic.;pic.;g. nord;recit pieux;pen;VRAI
81;pon1;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Pas-de-Calais centre + nord);1290;31;86;non;ms2;1213;1290;Nord;nord;g. nord;Nord;Nord;g. nord;conte en prose;pon1;VRAI
82;pon2;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Somme, Pas-de-Calais);1290;26;89;non;ms2;1238;1290;Nord;nord;g. nord;Nord;Nord;g. nord;nil;pon2;VRAI
83;pritheo;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;90 (Pas-de-Calais sud-est);nil;29;90;oui;cr2;1290;1300;pic.;pic.;g. nord;pic.;pic.;g. nord;nil;pritheo;VRAI
84;robert;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;75 (Pas-de-Calais centre + nord);1275;31;75;oui;cr;1190;1275;traits norm. ?;;;pic.;pic.;g. nord;roman historique en ocuplets d'octosyllabes;robert;VRAI
85;robin;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;91 (Somme centre + sud);1275;27;91;oui;ms ;1285;1295;art.;art.;g. nord;Arras;Pas-de-Calais;g. nord;jeu;robin;VRAI
86;sept;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;76 (Pas-de-Calais sud-est);1284;29;76;oui;ms2;1183;1285;Sud-Ouest;Sud-Ouest;g. sud-ouest;pic.;pic.;g. nord;roman historique en octosyllabes;sept;VRAI
87;vcou;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Pas-de-Calais sud-est);1290;29;82;oui;cr1;1250;1290;pic. orient.;pic.;g. nord;art.;art.;g. Nord;nil;vcou;VRAI
88;wita;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);1250;29;77;oui;ms3;1238;1285;pic.;pic.;g. nord;pic.;pic.;g. nord;nil;wita;VRAI
89;yvp;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Somme, Pas-de-Calais);1250;26;86;oui;ms;1177;1317;champ. merid.;champ.;g. nord-est;pic.;pic.;g. nord;roman arthurien en octosyllabes;yvp;VRAI
90;yvs;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;79 (Pas-de-Calais centre + nord);1310;31;79;oui;ms1;1177;1300;champ. merid.;champ.;g. nord-est;nil;nil;;roman arthurien en octosyllabes;yvs;VRAI
