id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
abe;15;77;92;0.16304347826087;143;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Region parisienne);1325;54;84;non;ms3;1280;1395;frc.;frc.;g. francien;Paris;Paris;g. francien;epistolaire;abe;VRAI;1395
ailea;2;1;3;0.666666666666667;161;Yonne;Yonne;Yonne;20;20;20;20;77 (Yonne);nil;58;77;oui;ms;1207;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;poeme didactique;ailea;VRAI;1288
aileb;1;1;2;0.5;226;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;82 (Nievre, Allier);nil;85;82;oui;ms;1207;1290;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileb;VRAI;1290
ailed;0;1;1;0;166;Aube;Aube;Aube;21;21;21;21;83 (Aube);nil;59;83;oui;ms;1207;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;poeme didactique;ailed;VRAI;1290
aileg;1;2;3;0.333333333333333;246;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);nil;86;70;oui;ms;1207;1300;pic.;pic.;g. nord;agn.;agn.;agn.;poeme didactique;aileg;VRAI;1300
aileo;1;2;3;0.333333333333333;107;Nord;Nord;Nord;14;14;14;14;87 (Lille et env.);1310;40;87;oui;ms;1207;1310;pic.;pic.;g. nord;Nord-Est;Nord-Est;g. nord-est;poeme didactique;aileo;VRAI;1310
ailet;3;1;4;0.75;116;Wallonie;Wallonie;Wallonie;16;16;16;16;76 (Wallonie);nil;45;76;oui;ms;1207;1300;pic.;pic.;g. nord;wall.;wall.;g. nord-est;poeme didactique;ailet;VRAI;1300
aiol;5;2;7;0.714285714285714;44;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1250;29;83;oui;ms1;1160;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste en decasyllabes et alexandrins;aiol;VRAI;1275
alexo;0;1;1;0;117;Wallonie;Wallonie;Wallonie;16;16;16;16;81 (Wallonie);1250;45;81;oui;ms2;1210;1210;nil;NA;NA;wall.;wall.;g. nord-est;legende en alexandrins;alexo;VRAI;1210
alia;6;3;9;0.666666666666667;2;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;71 (Vendee);1225;4;71;oui;ms;1185;1225;pic. et occ. orient.;pic.;g. nord;poit.;poit.;g. sud-ouest;roman en vers;alia;VRAI;1225
amad;4;3;7;0.571428571428571;96;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1288;37;81;oui;cr3;1210;1289;agn.;agn.;agn.;pic.;pic.;g. nord;roman d'aventures et d'amour en octosyllabes;amad;VRAI;1289
amile;3;0;3;1;189;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;80 (Langres et env.);1275;61;80;oui;ms1;1200;1275;nil;NA;NA;lorr.;lorr.;g. nord-est;chanson de geste en laisses decasyllabiques;amile;VRAI;1275
amo;15;6;21;0.714285714285714;108;Nord;Nord;Nord;14;14;14;14;78 (Lille et env.);1300;40;78;oui;ms;1250;1300;flandr.;flandr.;g. nord;pic. ?;NA;NA;poeme didactique;amo;VRAI;1300
amou;25;8;33;0.757575757575758;91;Oise;Oise;Oise;12;12;12;12;89 (Oise);1300;32;89;oui;cr;1250;1300;franc.;frc.;g. francien;Nord;Nord;g. nord;bestaire rime;amou;VRAI;1300
anth;8;16;24;0.333333333333333;190;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;79 (Langres et env.);nil;61;79;non;ms1;1208;1275;wall.;wall.;g. nord-est;pic.;pic.;g. nord;vie de saint en quatrains d'alexandrins monorimes;anth;VRAI;1275
anti;6;1;7;0.857142857142857;29;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1275;61;61;oui;cr;1236;1288;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;poeme allegorique traitant de l'Antechrist;#N/A;FAUX;1288
arr;0;3;3;0;45;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Pas-de-Calais sud-est);nil;29;82;non;ms1;nil;1275;nil;NA;NA;Arras;Pas-de-Calais;g. nord;hagiographie;arr;VRAI;1275
artch;2;0;2;1;135;Marne;Marne;Marne;18;18;18;18;82 (Marne ouest);1340;52;82;non;cr2;1288;1340;frc.;frc.;g. francien;pic.;pic.;g. nord;traduction française en prose du De re militari de Vï¿_gï¿_ce;artch;VRAI;1340
athi;16;4;20;0.8;97;Aisne;Aisne;Aisne;13;13;13;13;74 (Aisne);nil;37;74;oui;cr2;1200;1350;pic.;pic.;g. nord;frc.;frc.;g. francien;histoire de deux amis en octosyllabes;athi;VRAI;1350
atre;11;1;12;0.916666666666667;60;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;NA;11;11;nil;1290;29;65;oui;cr2;1250;1290;ouest;ouest;g. ouest;pic.;pic.;g. nord;roman arthurien en octosyllabes;#N/A;FAUX;1290
auc;21;2;23;0.91304347826087;46;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;non;ms1;1225;1290;pic.;pic.;g. nord;pic.;pic.;g. nord;chantefable en vers et en prose;auc;VRAI;1290
aucchants;2;1;3;0.666666666666667;47;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;oui;ms1;1225;1290;pic.;pic.;g. nord;pic.;pic.;g. nord;chantefable en vers et en prose;#N/A;FAUX;1290
avu;3;0;3;1;16;Normandie;Normandie;Normandie;10;10;10;10;76 (Eure);1290;24;76;oui;cr2;1250;1288;Oise;Oise;g. nord;frc.;frc.;g. francien;fabliau;avu;VRAI;1288
aye;3;1;4;0.75;288;nil;Normandie;Normandie;10;NA;10;10;nil;1300;24;62;non;cr1;1200;1300;pic. / norm.;NA;g. nord-ouest;nil;nil;NA;chanson de geste du cycle de Nanteuil, rattachee au cycle de Charlemagne, en laisses d'alexandrins;#N/A;FAUX;1300
baisieux;5;2;7;0.714285714285714;118;Wallonie;Wallonie;Wallonie;16;16;16;16;73 (Wallonie);1300;45;73;oui;ms;1300;1300;wall.;wall.;g. nord-est;wall.;wall.;g. nord-est;une nouvelle courtoise et deux dits à caractï¿_re moralisant et religieux;baisieux;VRAI;1300
bar;8;4;12;0.666666666666667;48;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;95 (Somme, Pas-de-Calais);1310;26;95;oui;cr2;1210;1310;pic.;pic.;g. nord;pic.;pic.;g. nord;conte pieux;bar;VRAI;1310
barlaam;16;48;64;0.25;191;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;86 (Langres et env.);1290;61;86;non;cr3;1217;1290;champ.;champ.;g. nord-est;est;est;g. est;legende orientale en prose;barlaam;VRAI;1290
barril;9;4;13;0.692307692307692;227;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;85 (Nievre, Allier);1310;85;85;oui;ms;1218;1317;orl.;orl.;g. sud;orl.;orl.;g. sud;poeme;barril;VRAI;1317
beati;6;8;14;0.428571428571429;217;Vosges;Vosges;Vosges;25;25;25;25;70 (Vosges);1150;75;70;non;ms2;1200;1200;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;texte religieux;beati;VRAI;1200
beauv;21;0;21;1;92;Oise;Oise;Oise;12;12;12;12;81 (Oise);1250;32;81;non;ms3;1283;1250;Oise;oise;g. nord;frc.;frc.;g. francien;nil;beauv;VRAI;1250
bel;2;3;5;0.4;111;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;NA;11;11;nil;1275;29;64;oui;ms2;1200;1283;est;est;g. est;hain.;hain.;g. nord;conte en octosyllabes;#N/A;FAUX;1283
benoit;8;2;10;0.8;7;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;70 (Vendee);1190;4;70;oui;ms1;1174;1190;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;chronique en vers octosyllabiques;benoit;VRAI;1190
bern2;0;1;1;0;214;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;24;24;24;24;79 (Moselle, Meurthe-et-Moselle);nil;70;79;non;ms;1190;1190;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;sermons liturgiques;bern2;VRAI;1190
besant;0;3;3;0;247;Angleterre;Angleterre;Angleterre;29;29;29;29;71 (Angleterre);1400;86;71;oui;cr;1227;1290;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;poeme moralisant;besant;VRAI;1290
best;2;9;11;0.181818181818182;248;Angleterre;Angleterre;Angleterre;29;29;29;29;73 (Angleterre);1250;86;73;oui;cr3;1211;1250;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;miracle dramatise en vers;best;VRAI;1250
bourg;3;0;3;1;219;Franche-Comte;Franche-Comte;Franche-Comte;26;26;26;26;90 (Haute-Saone);1310;79;90;oui;ms1;1310;1310;nil;NA;NA;bourg.;bourg.;g. sud-est;1) Des poignes d'enfer: legende pieuse, 2)  Les II chevaliers : enseignement moral, 3) enseignement moral: enseignement moral;bourg;VRAI;1310
calen;3;0;3;1;192;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;83 (Langres et env.);nil;61;83;oui;ms2;1215;1235;champ.;champ.;g. nord-est;champ.;champ.;g. nord-est;chronique;calen;VRAI;1235
calex;21;5;26;0.807692307692308;144;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;79 (Val d'Oise);nil;55;79;oui;ms;1225;1290;pic.;pic.;g. nord;nil;nil;NA;nil;calex;VRAI;1290
cambrai;6;3;9;0.666666666666667;130;Ardennes;Ardennes;Ardennes;17;17;17;17;75 (Ardennes sud);1262;50;75;oui;cr1;1190;1225;nord-est;nord-est;g. nord-est;pic.;pic.;g. nord;chanson de geste à laisses rimees;cambrai;VRAI;1225
carem;2;4;6;0.333333333333333;119;Wallonie;Wallonie;Wallonie;16;16;16;16;81 (Wallonie);1225;45;81;non;ms2;1217;1225;lieg.;lieg.;g. nord-est;lieg.;lieg.;g. nord-est;neuf sermons en prose pour le Carême;carem;VRAI;1225
carp;0;4;4;0;228;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;80 (Nievre, Allier);nil;85;80;non;ms;1208;1275;wall.;wall.;g. nord-est;pic.;pic.;g. nord;hagiographie;carp;VRAI;1275
cass;0;10;10;0;136;Marne;Marne;Marne;18;18;18;18;77 (Marne ouest);1290;52;77;non;cr2;1275;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;roman en prose;cass;VRAI;1290
chaitH;0;2;2;0;275;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai breton;#N/A;FAUX;1275
chastoi;12;14;26;0.461538461538462;19;nil;Normandie;Normandie;10;NA;10;10;nil;1250;23;66;oui;cr3;1210;1275;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;collection de contes moraux;#N/A;FAUX;1275
chauvency;21;3;24;0.875;193;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;87 (Chaumont et env.);1310;63;87;oui;cr1;1285;1310;Meuse;meuse;g. nord-est;lorr.;lorr.;g. nord-est;roman de  chevalerie en vers;chauvency;VRAI;1310
chevreS;1;0;1;1;269;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai;#N/A;FAUX;1300
chret1;13;18;31;0.419354838709677;172;nil;Hainaut;Hainaut;15;NA;15;15;nil;1210;44;67;oui;ms;1180;1238;champ. merid.;champ.;g. nord-est;pic.;pic.;g. nord;roman arthurien en vers;#N/A;FAUX;1238
chret2;25;7;32;0.78125;194;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;79 (Langres et env.);1250;61;79;oui;ms;1180;1235;champ. merid.;champ.;g. nord-est;champ.;champ.;g. nord-est;roman arthurien en vers;#N/A;FAUX;1235
chro;4;1;5;0.8;4;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1225;1;68;oui;cr2;1174;1217;poit.;poit.;g. sud-ouest;agn.;agn.;agn.;chronique en octosyllabes;#N/A;FAUX;1217
clari2;3;7;10;0.3;50;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;97 (Somme, Pas-de-Calais);1300;26;97;non;ms;1217;1300;pic.;pic.;g. nord;pic.;pic.;g. nord;recit de la quatriï¿_me croisade;clari2;VRAI;1300
clef;5;3;8;0.625;21;Normandie;Normandie;Normandie;10;10;10;10;92 (Normandie);nil;22;92;oui;cr;1280;1317;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;imitation de l'Ars Amatoria d'Ovide;clef;VRAI;1317
cleom;11;2;13;0.846153846153846;93;Oise;Oise;Oise;12;12;12;12;85 (Oise);nil;32;85;oui;cr1;1285;1290;flandr.;flandr.;g. nord-est;frc.;frc.;g. francien;roman courtois en vers;cleom;VRAI;1290
coinci;4;0;4;1;137;Marne;Marne;Marne;18;18;18;18;79 (Marne ouest);1350;52;79;oui;ms1;1226;1310;nord;nord;g. nord;pic. merid.;pic.;g. nord;miracle;coinci;VRAI;1310
compoit;7;4;11;0.636363636363636;51;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Pas-de-Calais sud-est);1310;29;86;oui;ms;1225;1310;pic.;pic.;g. nord;pic.;pic.;g. nord;roman en vers;compoit;VRAI;1310
conperc;8;2;10;0.8;52;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);1210;29;77;oui;ms1;1238;1210;pic.;pic.;g. nord;pic.;pic.;g. nord;roman en vers;conperc;VRAI;1210
contre;32;14;46;0.695652173913043;167;Aube;Aube;Aube;21;21;21;21;87 (Aube);1310;59;87;oui;cr2;1322;1337;champ. merid.;champ.;g. nord-est;nil;nil;NA;oeuvre moralisante;contre;VRAI;1337
contro;14;5;19;0.736842105263158;168;Aube;Aube;Aube;21;21;21;21;91 (Aube);1250;59;91;oui;cr1;1200;1225;nil;NA;NA;champ. merid.;champ.;g. nord-est;nil;contro;VRAI;1225
cordres;5;2;7;0.714285714285714;211;Meuse;Meuse;Meuse;23;23;23;23;81 (Verdun et env.);1275;67;81;oui;ms2;1200;1262;lorr.;lorr.;g. nord-est;Meuse;Meuse;g. nord-est;chanson de geste (cycle de Guillaume d'Orange);cordres;VRAI;1262
cou;13;2;15;0.866666666666667;110;Hainaut;Hainaut;Hainaut;15;15;15;15;85 (Tournai et env.);1275;44;85;oui;cr1;1210;1285;art.;art.;g. nord;pic.;pic.;g. nord;piece de theatre (jeu);cou;VRAI;1285
desp;20;11;31;0.645161290322581;53;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;74 (Pas-de-Calais sud-est);1300;29;74;oui;cr2;1238;1300;pic.;pic.;g. nord;Pas-de-Calais;Pas-de-Calais;g. nord;roman d'aventures;desp;VRAI;1300
dole;5;1;6;0.833333333333333;195;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;74 (Langres et env.);1290;61;74;oui;cr3;1209;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;roman en octosyllabes;dole;VRAI;1290
durm;4;0;4;1;58;nil;Wallonie;Wallonie;16;NA;16;16;nil;nil;45;66;oui;cr1;1217;1290;pic.;pic.;g. nord;bourg.;bourg.;g. sud-est;roman arthurien;#N/A;FAUX;1290
edmond;0;2;2;0;281;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms2;1255;1280;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;#N/A;FAUX;1280
edmund;0;7;7;0;282;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms2;1195;1325;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;#N/A;FAUX;1325
egip;4;0;4;1;98;Aisne;Aisne;Aisne;13;13;13;13;78 (Aisne);1283;37;78;oui;cr2;1263;1288;champ. merid.;champ.;g. nord-est;frc.;frc.;g. francien;vie de Saint;egip;VRAI;1288
elid;1;3;4;0.25;249;Angleterre;Angleterre;Angleterre;29;29;29;29;75 (Angleterre);1250;86;75;oui;ms;1165;1275;Nord-ouest;Nord-ouest;g. nord-ouest;agn.;agn.;agn.;lais;elid;VRAI;1275
elie;19;10;29;0.655172413793103;54;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;79 (Pas-de-Calais sud-est);nil;29;79;oui;nil;1190;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;chanson de geste;elie;VRAI;1275
eneas;0;1;1;0;196;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;73 (Langres et env.);1200;61;73;oui;cr2;1160;1200;norm.;norm.;g. nord-ouest;lorr.;lorr.;g. nord-est;roman antique;eneas;VRAI;1200
enf;4;4;8;0.5;27;Normandie;Normandie;Normandie;10;10;10;10;85 (Normandie);1350;22;85;oui;ms;1275;1317;Ouest;Ouest;g. ouest;pic.;pic.;g. nord;poeme evangelique à couplets octosyllabiques apocryphe;enf;VRAI;1317
epee;12;3;15;0.8;229;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;86 (Nievre, Allier);1300;85;86;oui;ms1;1200;1310;bourg.;bourg.;g. sud-est;bourg. sept.;bourg.;g. sud-est;conte en octosyllabes;epee;VRAI;1310
equiH;0;2;2;0;270;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lai;#N/A;FAUX;1275
equiS;2;2;4;0.5;254;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai;#N/A;FAUX;1300
eustache;6;1;7;0.857142857142857;30;Normandie;Normandie;Normandie;10;10;10;10;75 (Normandie);1250;22;75;oui;ms2;1210;1250;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;vie de saint en octosyllabes;eustache;VRAI;1250
evrat1;25;1;26;0.961538461538462;171;nil;Meuse;Meuse;23;NA;23;23;nil;nil;67;63;oui;ms1-2;1198;1210;champ.;champ.;g. nord-est;lorr.;lorr.;g. nord-est;poeme biblique;#N/A;FAUX;1210
evratC2;12;1;13;0.923076923076923;170;nil;Wallonie;Wallonie;16;NA;16;16;nil;nil;45;69;oui;ms1;1198;1210;champ.;champ.;g. nord-est;lorr.;lorr.;g. nord-est;poeme biblique;#N/A;FAUX;1210
fab4c;10;3;13;0.769230769230769;33;Normandie;Normandie;Normandie;10;10;10;10;84 (Normandie);nil;22;84;oui;ms;1200;1300;pic.;pic.;g. nord;norm.;norm.;g. nord-ouest;fabliau;fab4c;VRAI;1300
fab4e;11;0;11;1;230;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;93 (Nievre, Allier);nil;85;93;oui;ms;1200;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;fabliau;fab4e;VRAI;1290
fab4f;3;6;9;0.333333333333333;55;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Somme, Pas-de-Calais);nil;26;82;oui;ms;1200;1300;pic.;pic.;g. nord;nil;nil;NA;fabliau;fab4f;VRAI;1300
faba;34;7;41;0.829268292682927;34;Normandie;Normandie;Normandie;10;10;10;10;80 (Eure);nil;24;80;oui;ms;1250;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;fabliau;faba;VRAI;1288
fabb;19;10;29;0.655172413793103;197;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;88 (Langres et env.);nil;61;88;oui;ms;1250;1310;pic.;pic.;g. nord;bourg. sept.;bourg.;g. sud-est;fabliau;fabb;VRAI;1310
fabd;24;11;35;0.685714285714286;198;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;84 (Langres et env.);nil;61;84;oui;ms;1250;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;fabliau;fabd;VRAI;1290
fabj;20;6;26;0.769230769230769;56;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);nil;29;77;oui;ms;1250;1285;pic.;pic.;g. nord;pic.;pic.;g. nord;fabliau;fabj;VRAI;1285
fablesA;0;23;23;0;276;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1250;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1250
fablesB;0;17;17;0;277;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1290
fablesC;14;5;19;0.736842105263158;216;nil;nil;Moselle, Meurthe-et-Moselle;NA;NA;24;24;nil;nil;nil;nil;oui;ms;1180;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;lorr.;lorr.;g. nord-est;fable;#N/A;FAUX;1275
fablesE1;1;8;9;0.111111111111111;283;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;fable;#N/A;FAUX;1225
fablesK;7;4;11;0.636363636363636;295;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1310;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1310
fablesL;4;0;4;1;287;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1290
fablesM;3;1;4;0.75;121;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1300;Nord-Ouest;Nord-Ouest;g. nord-ouest;wall.;wall.;g. nord-est;fable;#N/A;FAUX;1300
