id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
fablesT;10;8;18;0.555555555555556;183;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1287;Nord-Ouest;Nord-Ouest;g. nord-ouest;champ.;champ.;g. nord-est;fable;#N/A;FAUX;1287
fablesY;0;6;6;0;296;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1180;1225;Nord-Ouest;Nord-Ouest;g. nord-ouest;norm. et agn.;NA;NA;nil;#N/A;FAUX;1225
fablesZ;3;4;7;0.428571428571429;289;nil;nil;NA;NA;NA;NA;NA;nil;nil;nil;nil;oui;ms;1180;1400;Nord-Ouest;Nord-Ouest;g. nord-ouest;nil;nil;NA;fable;#N/A;FAUX;1400
faucon;3;1;4;0.75;67;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;87 (Pas-de-Calais sud-est);nil;29;87;oui;cr;1250;1295;pic.;pic.;g. nord;pic.;pic.;g. nord;poeme moral allegorique où le riche est representï¿_ par un faucon et le pauvre par un poulet;faucon;VRAI;1295
fetrom;0;4;4;0;162;Yonne;Yonne;Yonne;20;20;20;20;81 (Yonne);nil;58;82;non;cr1;1213;1290;frc.;frc.;g. francien;bourg.;bourg.;g. sud-est;roman antique (base sur Lucain);fetrom;VRAI;1290
feu;27;0;27;1;68;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Somme, Pas-de-Calais);1300;26;89;oui;cr3;1276;1295;art.;art.;g. nord;pic.;pic.;g. nord;jeu en octosyllabes;feu;VRAI;1295
flo;2;1;3;0.666666666666667;231;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;74 (Nievre, Allier);1300;85;74;oui;cr1;1213;1300;pic.;pic.;g. nord;est;est;g. est;chanson d'aventure;flo;VRAI;1300
floov;3;2;5;0.6;223;Bourgogne;Bourgogne;Bourgogne;27;27;27;27;84 (Bourgogne);1350;81;84;oui;cr2;1190;1325;Sud-Est;Sud-Est;g. sud-est;bourg.;bourg.;g. sud-est;chanson de geste;floov;VRAI;1325
gar;7;3;10;0.7;99;Aisne;Aisne;Aisne;13;13;13;13;87 (Aisne);1275;37;87;oui;cr2;1275;1275;pic.;pic.;g. nord;pic.;pic.;g. nord;jeu en octosyllabes;gar;VRAI;1275
gepa;4;0;4;1;35;Normandie;Normandie;Normandie;10;10;10;10;87 (Normandie);1317;22;87;oui;ms;1316;1318;norm.;norm.;g. nord-ouest;nil;nil;NA;oeuvre narrative en vers;gepa;VRAI;1318
gerv;1;0;1;1;224;Bourgogne;Bourgogne;Bourgogne;27;27;27;27;90 (Cote-d'Or sud + Seine-et-Loire);1275;84;90;oui;ms1;1210;1275;bourg.;bourg.;g. sud-est;bourg.;bourg.;g. sud-est;bestiaire rime en octosyllabes, base sur les Dicta Chrysostomi;gerv;VRAI;1275
gibv;0;4;4;0;250;Angleterre;Angleterre;Angleterre;29;29;29;29;71 (Angleterre);1250;86;71;oui;cr1;1183;1225;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint en octosyllabes;gibv;VRAI;1225
gir;8;2;10;0.8;232;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;72 (Nievre, Allier);1250;85;72;oui;cr2;1210;1270;champ. merid.;champ.;g. nord-est;bourg.;bourg.;g. sud-est;chanson de geste à laisses assonancees rattachee au cycle de Guillaume d'Orange;gir;VRAI;1270
gorm;0;2;2;0;251;Angleterre;Angleterre;Angleterre;29;29;29;29;80 (Angleterre);1250;86;80;oui;ms2;1125;1213;frc.;frc.;g. francien;agn.;agn.;agn.;chanson de geste;gorm;VRAI;1213
graal;5;1;6;0.833333333333333;100;Aisne;Aisne;Aisne;13;13;13;13;83 (Aisne);1290;37;83;oui;ms1;1196;1290;frcomt.;frcomt.;g. sud-est;pic.;pic.;g. nord;roman en vers octosyllabiques;graal;VRAI;1290
greg2;1;0;1;1;255;nil;Angleterre;Angleterre;29;NA;29;29;nil;1213;86;65;oui;ms1;1215;1215;agn.;agn.;agn.;agn.;agn.;agn.;hagiographie;#N/A;FAUX;1215
guib;0;2;2;0;233;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;75 (Nievre, Allier);1250;85;75;oui;cr3;1210;1270;frc.;frc.;g. francien;bourg.;bourg.;g. sud-est;chanson de geste du cycle de Guillaume d'Orange à laisses decasyllabiques rimees;guib;VRAI;1270
guigH;0;3;3;0;285;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;cr;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX;1275
guigP;3;2;5;0.6;59;nil;nil;Somme, Pas-de-Calais;NA;NA;11;11;nil;nil;nil;nil;oui;nil;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;pic.;pic.;g. nord;lai;#N/A;FAUX;1290
guigS;2;3;5;0.4;146;nil;nil;Region parisienne;NA;NA;19;19;nil;nil;nil;nil;oui;nil;1165;1300;Nord-Ouest;Nord-Ouest;g. nord-ouest;frc.;frc.;g. francien;lai;#N/A;FAUX;1300
guil;2;0;2;1;20;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;nil;5;55;oui;cr2;1223;1237;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;biographie en vers;#N/A;FAUX;1237
hard;0;2;2;0;215;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;Moselle, Meurthe-et-Moselle;24;24;24;24;74 (Moselle);1200;72;74;non;cr2;1190;1190;lorr.;lorr.;g. nord-est;Metz;lorr.;g. nord-est;sermons liturgiques;hard;VRAI;1190
helc;23;7;30;0.766666666666667;145;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;79 (Val d'Oise);1290;55;79;non;cr2;1285;1290;pic.;pic.;g. nord;frc.;frc.;g. francien;episode du cycle des Sept Sages;helc;VRAI;1290
herm;16;9;25;0.64;199;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;85 (Langres et env.);1250;61;85;oui;cr;1190;1290;pic.;pic.;g. nord;lorr.;lorr.;g. nord-est;collection d'episodes historiques tires des deux Testaments et d'apocryphes;herm;VRAI;1290
hista;0;18;18;0;123;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;nil;61;75;non;ms1;1213;1287;Belgique;NA;g. nord-est;Nord-Est;Nord-Est;g. nord-est;Histoire ancienne interrompue au milieu de la Guerre des Gaules (57 av. J.C.);hista;VRAI;1287
hue;12;0;12;1;36;Normandie;Normandie;Normandie;10;10;10;10;83 (Eure);nil;24;83;oui;ms;1250;1287;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;dits;hue;VRAI;1287
hyla;0;3;3;0;69;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;85 (Somme centre + sud);nil;27;85;non;ms1;1208;1275;Belgique;NA;g. nord-est;pic.;pic.;g. nord;vie de saint;hyla;VRAI;1275
ipo;3;41;44;0.0681818181818182;273;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;cr;1185;1250;agn.;agn.;agn.;agn.;agn.;agn.;nil;#N/A;FAUX;1250
jaco;2;2;4;0.5;169;Aube;Aube;Aube;21;21;21;21;86 (Aube);1300;59;86;non;cr;1212;1290;Beauvais;oise;g. nord;champ.;champ.;g. nord-est;traduction;jaco;VRAI;1290
jean;13;0;13;1;113;nil;Aube;Aube;21;NA;21;21;nil;nil;59;68;oui;cr;1225;1250;hain.;hain.;g. nord;norm.;norm.;g. nord-ouest;vie de saint en quatrains d'alexandrins;#N/A;FAUX;1250
joinv;9;29;38;0.236842105263158;148;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;87 (Val d'Oise);1350;55;87;non;cr1;1307;1335;champ.;champ.;g. nord-est;Nord-Est;Nord-Est;g. nord-est;chronique en prose;joinv;VRAI;1335
jongl;8;3;11;0.727272727272727;149;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;82 (Seine-et-Marne);1250;57;82;oui;ms;1243;1275;frc.;frc.;g. francien;frc.;frc.;g. francien;Passion en octosyllabes;jongl;VRAI;1275
jouf;0;2;2;0;200;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;73 (Langres et env.);1310;61;73;oui;ms3;1250;1300;Sud-Est;Sud-Est;g. sud-est;Est;est;g. est;roman d'aventures;jouf;VRAI;1300
juda;7;0;7;1;70;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1250;29;80;oui;ms1;1285;1290;pic.;pic.;g. nord;Nord;Nord;g. nord;traduction en vers;juda;VRAI;1290
juise2;1;0;1;1;124;Wallonie;Wallonie;Wallonie;16;16;16;16;71 (Wallonie);1210;45;71;oui;cr2;1137;1210;lieg.;lieg.;g. nord-est;wall.;wall.;g. nord-est;sermon en alexandrins assonances;juise2;VRAI;1210
kathe;1;0;1;1;220;Franche-Comte;Franche-Comte;Franche-Comte;26;26;26;26;75 (Haute-Saone);1350;79;75;oui;ms1;1250;1325;poit.;poit.;g. sud-ouest;traits frpr.;NA;NA;vie de Sainte en vers irreguliers;kathe;VRAI;1325
lac;7;11;18;0.388888888888889;201;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;86 (Langres et env.);1237;61;86;non;cr1;1220;1237;nil;NA;NA;Est;est;g. est;nil;lac;VRAI;1237
lanc;15;3;18;0.833333333333333;71;Somme, Pas-de-Calais;Ardennes;Somme, Pas-de-Calais;17;11;11;17;76 (Somme, Pas-de-Calais);1275;50;63;non;cr;1220;1275;nil;NA;NA;pic.;pic.;g. nord;roman breton en prose;#N/A;FAUX;1275
lancpr;8;10;18;0.444444444444444;65;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;NA;11;11;nil;1310;26;76;non;nil;1220;1316;nil;NA;NA;pic.;pic.;g. nord;nil;lancpr;VRAI;1316
lanvalC;1;1;2;0.5;284;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms2;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX;1290
lanvalH;0;2;2;0;272;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms2;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX;1275
lanvalP;1;1;2;0.5;57;nil;nil;Somme, Pas-de-Calais;NA;NA;11;11;nil;nil;nil;nil;oui;ms2;1165;1290;Nord-Ouest;Nord-Ouest;g. nord-ouest;pic.;pic.;g. nord;lai;#N/A;FAUX;1290
lanvalS;0;2;2;0;150;nil;nil;Region parisienne;NA;NA;19;19;nil;nil;nil;nil;oui;ms2;1165;1300;Nord-Ouest;Nord-Ouest;g. nord-ouest;frc.;frc.;g. francien;lai;#N/A;FAUX;1300
laustH;0;1;1;0;271;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;nil;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;lai;#N/A;FAUX;1275
lin;6;20;26;0.230769230769231;163;Yonne;Yonne;Yonne;20;20;20;20;90 (Yonne);1250;58;90;non;cr2;1213;1250;Sud-Est;Sud-Est;g. sud-est;bourg.;bourg.;g. sud-est;roman arthurien;lin;VRAI;1250
livre;1;0;1;1;294;nil;nil;NA;NA;NA;NA;NA;nil;1217;17;68;oui;ms1;1176;1217;Ouest;Ouest;g. ouest;Ouest;Ouest;g. ouest;quatrains monorimes octosyllabiques;#N/A;FAUX;1217
loth;16;6;22;0.727272727272727;212;Meuse;Meuse;Meuse;23;23;23;23;75 (Verdun et env.);1350;67;75;non;ms;1365;1375;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;psautier;loth;VRAI;1375
loys;7;2;9;0.777777777777778;37;Normandie;Normandie;Normandie;10;10;10;10;96 (Eure);1310;24;96;non;ms1;1298;1310;multiple;NA;NA;nil;nil;NA;miracles en prose;loys;VRAI;1310
mace;3;1;4;0.75;234;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;84 (Nievre, Allier);1343;85;84;oui;cr;1300;1343;Centre;centre;g. sud;berr.;berr.;g. sud;trad. de l'Ancien Testament;mace;VRAI;1343
malk;20;10;30;0.666666666666667;138;Marne;Marne;Marne;18;18;18;18;90 (Marne est);1300;53;90;oui;ms3;1283;1283;lorr.;lorr.;g. nord-est;lorr.;lorr.;g. nord-est;trad. tantot libre, tantot litterale de l'Ancien Testament;malk;VRAI;1283
marga;1;0;1;1;202;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;84 (Langres et env.);1267;63;67;oui;cr3;1135;1267;norm.;norm.;g. nord-ouest;art.;art.;g. Nord;vie de saint en vers octosyllabiques;#N/A;FAUX;1267
martin1;3;1;4;0.75;235;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;81 (Nievre, Allier);1285;85;81;oui;ms;1225;1290;tour.;tour.;g. sud-ouest;bourg.;bourg.;g. sud-est;vie de saint;martin1;VRAI;1290
martin2;3;0;3;1;9;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;78 (Deux-Sevres);1275;5;78;oui;ms;1225;1290;tour.;tour.;g. sud-ouest;poit.;poit.;g. sud-ouest;vie de saint;martin2;VRAI;1290
martin3;1;0;1;1;12;Indre, Cher;Indre, Cher;Indre, Cher;4;4;4;4;80 (Indre, Cher);1275;10;80;oui;ms;1225;1290;tour.;tour.;g. sud-ouest;berr.;berr.;g. sud;vie de saint;martin3;VRAI;1290
maur;3;0;3;1;3;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1190;4;61;oui;cr3;1170;1210;poit.;poit.;g. sud-ouest;agn.;agn.;agn.;roman epique;#N/A;FAUX;1210
merlin;9;5;14;0.642857142857143;73;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1290;29;80;non;cr1;1213;1310;Sud-Est;Sud-Est;g. sud-est;pic.;pic.;g. nord;roman arthurien;merlin;VRAI;1310
merm;4;1;5;0.8;139;Marne;Marne;Marne;18;18;18;18;86 (Marne ouest);1250;52;86;non;cr3;1200;1290;pic.;pic.;g. nord;Marne;Marne;g. nord-est;bestiaire en prose;merm;VRAI;1290
meun;14;1;15;0.933333333333333;152;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;89 (Seine-et-Marne);1290;57;89;oui;cr2;1230;1285;traits orl.;NA;NA;orl.;orl.;g. sud;poeme allegorique sur l'art d'aimer en couplets octosyllabiques;meun;VRAI;1285
michel;1;0;1;1;25;nil;Normandie;Normandie;10;NA;10;10;nil;nil;23;58;oui;ms;1163;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;norm.;norm.;g. nord-ouest;chronique rimee;#N/A;FAUX;1275
milonS;4;0;4;1;151;nil;nil;Region parisienne;NA;NA;19;19;nil;nil;nil;nil;oui;cr1;1165;1300;Nord-Ouest;Nord-Ouest;g. nord-ouest;frc.;frc.;g. francien;nil;#N/A;FAUX;1300
milunH;0;3;3;0;268;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1165;1275;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX;1275
mir;4;0;4;1;101;Aisne;Aisne;Aisne;13;13;13;13;83 (Aisne);1310;37;83;oui;cr;1224;1310;Soissonnais;aisne;g. nord;pic. merid.;pic.;g. nord;miracles en vers;mir;VRAI;1310
miro;7;7;14;0.5;74;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;84 (Pas-de-Calais sud-est);1250;29;84;oui;ms1;1266;1277;pic.;pic.;g. nord;art.;art.;g. Nord;poeme imite de la moralite wallone des sept peches mortels.;miro;VRAI;1277
modw;0;1;1;0;252;Angleterre;Angleterre;Angleterre;29;29;29;29;78 (Angleterre);1250;86;78;oui;cr;1230;1250;agn.;agn.;agn.;agn.;agn.;agn.;vie de saint;modw;VRAI;1250
moral;11;3;14;0.785714285714286;125;Wallonie;Wallonie;Wallonie;16;16;16;16;82 (Wallonie);1210;45;82;oui;cr1;1200;1210;wall.;wall.;g. nord-est;wall.;wall.;g. nord-est;traite de vie chretienne;moral;VRAI;1210
moral2;3;0;3;1;126;Wallonie;Wallonie;Wallonie;16;16;16;16;91 (Wallonie);nil;45;91;oui;cr1;1200;1311;wall.;wall.;g. nord-est;wall.;wall.;g. nord-est;traite de vie chretienne;moral2;VRAI;1311
mortartu;11;13;24;0.458333333333333;153;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;82 (Seine-et-Marne);1250;57;82;non;cr;1213;1290;nil;NA;NA;frc.;frc.;g. francien;chanson de geste de la matiere de Bretagne;mortartu;VRAI;1290
mous;5;0;5;1;114;Hainaut;Hainaut;Hainaut;15;15;15;15;82 (Tournai et env.);1250;44;82;oui;ms3;1243;1275;hain.;hain.;g. nord;hain.;hain.;g. nord;chronique des rois de France, de la guerre de Troie à Saint Louis, en octosyllabes;mous;VRAI;1275
mrgri;1;2;3;0.333333333333333;31;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1275;61;84;oui;cr3;1135;1238;norm.;norm.;g. nord-ouest;tour.;tour.;g. sud-ouest;vie de saint en vers octosyllabiques;mrgri;VRAI;1238
mule;1;0;1;1;236;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;85 (Nievre, Allier);1300;85;85;oui;ms1;1200;1310;bourg.;bourg.;g. sud-est;bourg. sept.;bourg.;g. sud-est;conte en octosyllabes.;mule;VRAI;1310
myst;2;13;15;0.133333333333333;14;nil;Angleterre;Angleterre;29;NA;29;29;nil;1237;86;57;oui;ms2;1175;1238;traits occ. et agn.;NA;NA;tour.;tour.;g. sud-ouest;mystere en prose latine et en vers français octo- et decasyllabiques;#N/A;FAUX;1238
narcA;14;5;19;0.736842105263158;17;nil;nil;Normandie;NA;NA;10;10;nil;nil;nil;nil;oui;ms;1165;1287;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;poeme antiquisant;#N/A;FAUX;1287
narcB;14;5;19;0.736842105263158;26;nil;nil;Normandie;NA;NA;10;10;nil;nil;nil;nil;oui;ms;1165;1290;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;poeme antiquisant;#N/A;FAUX;1290
narcC;15;5;20;0.75;28;nil;nil;Normandie;NA;NA;10;10;nil;nil;nil;nil;oui;cr1;1165;1290;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;poeme antiquisant;#N/A;FAUX;1290
narcD;9;2;11;0.818181818181818;32;nil;nil;Normandie;NA;NA;10;10;nil;nil;nil;nil;oui;ms;1165;1300;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;nil;#N/A;FAUX;1300
narcE;2;0;2;1;18;nil;nil;Normandie;NA;NA;10;10;nil;nil;nil;nil;oui;ms;1165;1267;norm.;norm.;g. nord-ouest;art.;art.;g. Nord;nil;#N/A;FAUX;1267
ndchar;21;3;24;0.875;13;Orleanais;Orleanais;Orleanais;5;5;5;5;89 (Orleanais);1250;11;89;oui;ms2;1257;1350;Chartres;eure-et-Loir;g. ouest;Chartres;eure-et-Loir;g. est;recit de miracles en octosyllabes;ndchar;VRAI;1350
neele;1;0;1;1;75;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;80 (Pas-de-Calais sud-est);1288;29;80;oui;ms;1289;1289;pic.;pic.;g. nord;pic.;pic.;g. nord;table des matieres rimee;neele;VRAI;1289
nic;25;2;27;0.925925925925926;76;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;94 (Somme, Pas-de-Calais);1310;26;94;oui;ms1;1197;1295;art.;art.;g. nord;Arras;Pas-de-Calais;g. nord;nil;nic;VRAI;1295
nicb;1;16;17;0.0588235294117647;140;Marne;Marne;Marne;18;18;18;18;73 (Marne ouest);1280;52;73;non;ms1;1225;1288;nil;NA;NA;flandr.;flandr.;g. nord-est;traduction de l'Evangile;nicb;VRAI;1288
nicoa;0;12;12;0;286;nil;Angleterre;Angleterre;29;NA;29;29;nil;1250;86;69;non;ms1;1225;1290;nil;NA;NA;agn.;agn.;agn.;traduction de l'evangile;#N/A;FAUX;1290
nima1;7;7;14;0.5;203;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;76 (Langres et env.);nil;61;76;oui;ms1;1150;1263;nil;NA;NA;frc.;frc.;g. francien;epopee du cycle de Guillaume d'Orange;nima1;VRAI;1263
nima2;6;9;15;0.4;237;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;73 (Nievre, Allier);nil;85;73;oui;ms1;1150;1263;nil;NA;NA;frc.;frc.;g. francien;epopee du cycle de Guillaume d'Orange;nima2;VRAI;1263
nima3;4;4;8;0.5;238;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;76 (Nievre, Allier);1325;85;76;oui;ms1;1150;1325;nil;NA;NA;lorr.;lorr.;g. nord-est;epopee du cycle de Guillaume d'Orange;nima3;VRAI;1325
nima4;10;3;13;0.769230769230769;239;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;79 (Nievre, Allier);1280;85;79;oui;ms1;1150;1283;nil;NA;NA;frc.;frc.;g. francien;epopee du cycle de Guillaume d'Orange;nima4;VRAI;1283
nimb1;13;7;20;0.65;102;Aisne;Aisne;Aisne;13;13;13;13;85 (Aisne);1310;37;85;oui;ms1;1150;1335;nil;NA;NA;Paris;Paris;g. francien;epopee du cycle de Guillaume d'Orange;nimb1;VRAI;1335
nimb2;10;5;15;0.666666666666667;38;Normandie;Normandie;Normandie;10;10;10;10;91 (Eure);1350;24;91;oui;ms1;1150;1335;nil;NA;NA;Paris;Paris;g. francien;epopee du cycle de Guillaume d'Orange;nimb2;VRAI;1335
nimc;16;6;22;0.727272727272727;77;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;70 (Pas-de-Calais centre + nord);1295;31;70;oui;ms1;1150;1295;nil;NA;NA;art.;art.;g. Nord;epopee du cycle de Guillaume d'Orange;nimc;VRAI;1295
nimd;12;3;15;0.8;213;Meuse;Meuse;Meuse;23;23;23;23;78 (Verdun et env.);1275;67;78;oui;ms1;1150;1275;nil;NA;NA;lorr. merid.;lorr.;g. nord-est;nil;nimd;VRAI;1275
nouvel;6;3;9;0.666666666666667;78;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;94 (Pas-de-Calais sud-est);1275;29;94;oui;ms;1290;1295;Lille;nord;g. nord;Arras;Pas-de-Calais;g. nord;roman en vers;nouvel;VRAI;1295
oct;1;1;2;0.5;94;Oise;Oise;Oise;12;12;12;12;74 (Oise);1300;32;74;oui;ms2;1275;1290;pic.;pic.;g. nord;pic.;pic.;g. nord;roman antique en octosyllabes;oct;VRAI;1290
