id;n.cat1;n.cat2;n.tot;Tx_cat2;num_custom;regionDees;regionDees_from_codeRegional;regionDees_supp;R_code_from_codeRegional;R_code_from_regionDees;R_code_suppl_phylo;R_code_suppl_total;coefficientRegionDees;dateMoyenneDees;codeRegional;coefficientRegional;vers;qualite;dateComposition;dateManuscrit;lieuComposition;lieu_compo_normalise;lieu_compo_simplifie;lieuManuscrit;lieu_manuscrit_normalise;lieu_manuscrit_simplifie;genre;corpus_1987_test;corpus_1987;std_date
ombre;15;5;20;0.75;66;nil;Marne;Marne;18;NA;18;18;nil;nil;53;62;oui;cr1;1221;1288;pic.;pic.;g. nord;frc.;frc.;g. francien;conte courtois;#N/A;FAUX;1288
or;3;1;4;0.75;79;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;83 (Pas-de-Calais sud-est);1290;29;83;oui;cr1;1200;1370;pic.;pic.;g. nord;pic.;pic.;g. nord;vie de Saint;or;VRAI;1370
orso;11;19;30;0.366666666666667;141;Marne;Marne;Marne;18;18;18;18;82 (Marne);1290;51;82;oui;ms;1225;1290;pic. merid.;pic.;g. nord;lorr.;lorr.;g. nord-est;chanson de geste en alexandrins;orso;VRAI;1290
pap;3;12;15;0.2;109;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1250;5;61;oui;ms1;1175;1238;nord;nord;g. nord;tour.;tour.;g. sud-ouest;vie de saint;#N/A;FAUX;1238
papgreg2;0;32;32;0;127;Wallonie;Wallonie;Wallonie;16;16;16;16;77 (Wallonie);1210;45;77;non;ms3;1180;1210;lieg.;lieg.;g. nord-est;Est;est;g. est;recit pieux sous forme de dialogues.;papgreg2;VRAI;1210
pen;4;25;29;0.137931034482759;80;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;74 (Pas-de-Calais sud-est);1290;29;74;non;ms2;1275;1283;nil;NA;NA;pic.;pic.;g. nord;recit pieux;pen;VRAI;1283
pera;17;6;23;0.739130434782609;182;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1180;1235;champ. merid.;champ.;g. nord-est;champ.;champ.;g. nord-est;roman arthurien;pera;VRAI;1235
perb;10;17;27;0.37037037037037;173;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1180;1310;champ. merid.;champ.;g. nord-est;bourg. sept.;bourg.;g. sud-est;roman arthurien;#N/A;FAUX;1310
perc;8;2;10;0.8;61;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1290;61;69;oui;ms1;1250;1275;pic.;pic.;g. nord;pic. sept.;pic.;g. nord;roman arthurien;#N/A;FAUX;1275
percevalb;36;81;117;0.307692307692308;205;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;90 (Langres et env.);1350;61;90;oui;ms1;1180;1310;champ. merid.;champ.;g. nord-est;bourg. sept.;bourg.;g. sud-est;roman arthurien;percevalb;VRAI;1310
perf;12;9;21;0.571428571428571;174;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1300;5;56;oui;ms1;1180;1250;champ. merid.;champ.;g. nord-est;Est;est;g. est;roman arthurien;#N/A;FAUX;1250
perh;1;20;21;0.0476190476190476;175;nil;Angleterre;Angleterre;29;NA;29;29;nil;1375;86;58;oui;ms1;1180;1350;champ. merid.;champ.;g. nord-est;agn.;agn.;agn.;roman arthurien;#N/A;FAUX;1350
perl;15;14;29;0.517241379310345;184;Aube;Aube;Aube;21;21;21;21;81 (Aube);1275;59;81;oui;ms1;1180;1275;champ. merid.;champ.;g. nord-est;champ. merid.;champ.;g. nord-est;roman arthurien;perl;VRAI;1275
perm;7;19;26;0.269230769230769;240;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;78 (Nievre, Allier);1290;85;78;oui;ms1;1180;1275;champ. merid.;champ.;g. nord-est;bourg.;bourg.;g. sud-est;roman arthurien;perm;VRAI;1275
perp;12;13;25;0.48;115;Hainaut;Hainaut;Hainaut;15;15;15;15;77 (Tournai et env.);1250;44;77;oui;ms1;1180;1250;champ. merid.;champ.;g. nord-est;hain.;hain.;g. nord;roman arthurien;perp;VRAI;1250
perpraag;1;0;1;1;176;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1180;1300;Troyes;aube;g. est;Nord-Est;Nord-Est;g. nord-est;roman arthurien;#N/A;FAUX;1300
perq;9;15;24;0.375;206;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;92 (Langres et env.);1275;61;92;oui;ms1;1180;1275;champ. merid.;champ.;g. nord-est;champ. merid.;champ.;g. nord-est;roman arthurien;perq;VRAI;1275
perr;6;13;19;0.31578947368421;177;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1180;1237;champ. merid.;champ.;g. nord-est;pic.;pic.;g. nord;nil;#N/A;FAUX;1237
pers;13;15;28;0.464285714285714;39;Normandie;Normandie;Normandie;10;10;10;10;89 (Eure);1350;24;89;oui;ms1;1180;1310;champ. merid.;champ.;g. nord-est;traits norm.;NA;NA;nil;pers;VRAI;1310
pert;14;6;20;0.7;178;nil;Oise;Oise;12;NA;12;12;nil;1210;32;68;oui;ms1;1180;1275;champ. merid.;champ.;g. nord-est;pic. sept.;pic.;g. nord;roman arthurien;#N/A;FAUX;1275
peru;11;14;25;0.44;154;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;87 (Val d'Oise);1350;55;87;oui;ms1;1180;1330;champ. merid.;champ.;g. nord-est;Paris;Paris;g. francien;roman arthurien;peru;VRAI;1330
plainte;0;9;9;0;256;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;cr;1312;1325;agn.;agn.;agn.;agn.;agn.;agn.;complainte;#N/A;FAUX;1325
poit;4;11;15;0.266666666666667;10;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;78 (Vendee);1250;4;78;non;ms1;1217;1238;saint.;saint.;g. sud-ouest;saint.;saint.;g. sud-ouest;chronique en prose (relatant les evenements de l'epoque carolingienne);poit;VRAI;1238
pon1;3;1;4;0.75;81;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Pas-de-Calais centre + nord);1290;31;86;non;ms2;1213;1290;Nord;nord;g. nord;Nord;Nord;g. nord;conte en prose;pon1;VRAI;1290
pon2;1;2;3;0.333333333333333;82;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;89 (Somme, Pas-de-Calais);1290;26;89;non;ms2;1238;1290;Nord;nord;g. nord;Nord;Nord;g. nord;nil;pon2;VRAI;1290
pritheo;5;2;7;0.714285714285714;83;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;90 (Pas-de-Calais sud-est);nil;29;90;oui;cr2;1290;1300;pic.;pic.;g. nord;pic.;pic.;g. nord;nil;pritheo;VRAI;1300
psautier;0;109;109;0;258;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;non;cr2;1125;1150;agn.;agn.;agn.;Canterbury;agn.;agn.;psaume;#N/A;FAUX;1150
pseuturp;12;8;20;0.6;221;Franche-Comte;Franche-Comte;Franche-Comte;26;26;26;26;98 (Haute-Saone);1250;79;98;non;ms;1290;1290;bourg.;bourg.;g. sud-est;bourg.;bourg.;g. sud-est;chronique historique;pseuturp;VRAI;1290
queste;6;17;23;0.260869565217391;241;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;84 (Nievre, Allier);1250;85;84;non;cr3;1228;1250;nil;NA;NA;nil;nil;NA;roman arthurien en prose;queste;VRAI;1250
raou;14;12;26;0.538461538461538;131;Ardennes;Ardennes;Ardennes;17;17;17;17;78 (Ardennes sud);1250;50;78;oui;cr1;1190;1275;Nord-Est;Nord-Est;g. nord-est;Nord;Nord;g. nord;chanson de geste à laisses rimees;raou;VRAI;1275
reis;1;62;63;0.0158730158730159;259;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;non;ms;1175;1190;agn.;agn.;agn.;agn.;agn.;agn.;texte biblique;#N/A;FAUX;1190
remi;24;0;24;1;132;Ardennes;Ardennes;Ardennes;17;17;17;17;86 (Ardennes sud);1300;50;86;oui;ms2;1283;1350;champ. sept.;champ.;g. nord-est;Ardennes;champ.;g. nord-est;vie de Saint;remi;VRAI;1350
ren2;17;4;21;0.80952380952381;185;Aube;Aube;Aube;21;21;21;21;86 (Aube);1290;59;86;oui;ms;1188;1213;nil;NA;NA;Est;est;g. est;nil;ren2;VRAI;1213
robert;1;0;1;1;84;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;75 (Pas-de-Calais centre + nord);1275;31;75;oui;cr;1190;1275;traits norm. ?;NA;NA;pic.;pic.;g. nord;roman historique en ocuplets d'octosyllabes;robert;VRAI;1275
robin;29;4;33;0.878787878787879;85;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;91 (Somme centre + sud);1275;27;91;oui;ms;1285;1295;art.;art.;g. nord;Arras;Pas-de-Calais;g. nord;jeu;robin;VRAI;1295
rolandox;0;25;25;0;260;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;cr1;1100;1137;Nord-Ouest;Nord-Ouest;g. nord-ouest;agn.;agn.;agn.;nil;#N/A;FAUX;1137
roma;4;7;11;0.363636363636364;62;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1250;61;64;oui;ms;1188;1250;nil;NA;NA;pic.;pic.;g. nord;nil;#N/A;FAUX;1250
romb;5;7;12;0.416666666666667;207;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;89 (Langres et env.);1300;61;89;oui;ms;1188;1275;nil;NA;NA;Est;est;g. est;nil;romb;VRAI;1275
rombriv;7;0;7;1;63;nil;nil;Somme, Pas-de-Calais;NA;NA;11;11;nil;nil;nil;nil;oui;ms;1188;1290;nil;NA;NA;pic.;pic.;g. nord;nil;#N/A;FAUX;1290
romc;3;10;13;0.230769230769231;242;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;75 (Nievre Allier romc);1260;85;75;oui;ms1;1188;1300;nil;NA;NA;nil;nil;NA;nil;romc;VRAI;1300
romd;5;7;12;0.416666666666667;155;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;84 (Paris);1339;56;84;oui;ms1;1188;1339;nil;NA;NA;frc.;frc.;g. francien;nil;romd;VRAI;1339
rome;4;8;12;0.333333333333333;156;Region parisienne;nil;Region parisienne;NA;19;19;19;78 (Seine-et-Marne);1400;nil;78;oui;ms1;1188;1400;nil;NA;NA;nil;nil;NA;nil;rome;VRAI;1400
romh;8;5;13;0.615384615384615;133;Ardennes;Ardennes;Ardennes;17;17;17;17;73 (Ardennes sud);1290;50;73;oui;ms1;1188;1290;nil;NA;NA;pic.;pic.;g. nord;nil;romh;VRAI;1290
romk;4;7;11;0.363636363636364;112;nil;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;NA;11;11;nil;1300;29;58;oui;ms1;1188;1283;nil;NA;NA;hain.;hain.;g. nord;nil;#N/A;FAUX;1283
roml;5;3;8;0.625;208;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;91 (Langres et env.);1350;61;91;oui;ms1;1188;1350;nil;NA;NA;nil;nil;NA;nil;roml;VRAI;1350
romm;5;9;14;0.357142857142857;243;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;77 (Nievre, Allier);1350;85;77;oui;ms1;1188;1310;nil;NA;NA;nil;nil;NA;nil;romm;VRAI;1310
rose;69;3;72;0.958333333333333;244;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;84 (Nievre, Allier);1290;85;84;oui;cr2;1230;1285;traits orl.;NA;NA;orl.;orl.;g. sud;poeme allegorique en couplets octosyllabique;rose;VRAI;1285
rou3a;1;0;1;1;279;Angleterre;Angleterre;Angleterre;29;29;29;29;70 (Angleterre);1210;86;70;oui;cr2;1167;1210;norm.;norm.;g. nord-ouest;agn.;agn.;agn.;chronique historique;rou3a;VRAI;1210
sage;0;44;44;0;157;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;90 (Seine-et-Marne);nil;57;90;non;ms1;1250;1290;Traits de l'Ouest.;NA;NA;frc.;frc.;g. francien;nil;sage;VRAI;1290
sapient;0;1;1;0;128;Wallonie;Wallonie;Wallonie;16;16;16;16;82 (Wallonie);1210;45;82;non;ms2;1190;1210;Liege;lieg.;g. nord-est;Est;est;g. est;recit pieux dialogue;sapient;VRAI;1210
sept;8;7;15;0.533333333333333;86;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;76 (Pas-de-Calais sud-est);1284;29;76;oui;ms2;1183;1285;Sud-Ouest;Sud-Ouest;g. sud-ouest;pic.;pic.;g. nord;roman historique en octosyllabes;sept;VRAI;1285
sergbH;1;14;15;0.0666666666666667;261;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;cr1;1190;1250;agn.;agn.;agn.;agn.;agn.;agn.;sermon;#N/A;FAUX;1250
sergbO;0;2;2;0;262;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms;1190;1277;agn.;agn.;agn.;agn.;agn.;agn.;sermon;#N/A;FAUX;1277
songe;10;4;14;0.714285714285714;164;Yonne;Yonne;Yonne;20;20;20;20;76 (Yonne);nil;58;76;oui;cr3;1214;1288;Beauvais;oise;g. nord;nil;nil;NA;nil;songe;VRAI;1288
songe14;3;2;5;0.6;64;nil;nil;Somme, Pas-de-Calais;NA;NA;11;11;nil;nil;nil;nil;non;ms1;1389;1400;pic.;pic.;g. nord;nil;nil;NA;nil;#N/A;FAUX;1400
stsilv;3;0;3;1;15;Indre-et-Loire;Indre-et-Loire;Indre-et-Loire;6;6;6;6;71 (Loches et env.);1210;16;71;oui;ms2;1200;1210;Ouest;Ouest;g. ouest;tour.;tour.;g. sud-ouest;vie de Saint;stsilv;VRAI;1210
sully2;3;9;12;0.25;1;Charente-Maritime;Charente-Maritime;Charente-Maritime;1;1;1;1;95 (La Rochelle et env.);1250;2;95;non;ms2;1250;1250;La Rochelle;char.;g. sud-ouest;poit.;poit.;g. sud-ouest;sermons;sully2;VRAI;1250
teo2;0;10;10;0;263;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;52;oui;ms2;1150;1210;agn.;agn.;agn.;agn.;agn.;agn.;miracles en octosylabes.;#N/A;FAUX;1210
thA;1;0;1;1;5;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1190;5;69;oui;ms;1160;1200;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;roman antique;#N/A;FAUX;1200
the;21;0;21;1;158;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;85 (Seine-et-Marne);1250;57;85;oui;nil;1261;1288;champ. merid.;champ.;g. nord-est;frc.;frc.;g. francien;nil;the;VRAI;1288
thebe;3;2;5;0.6;159;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;81 (Seine-et-Marne);1250;57;81;oui;ms2;1250;1250;poit.;poit.;g. sud-ouest;frc.;frc.;g. francien;roman antique;thebe;VRAI;1250
thebefrag;2;0;2;1;11;Vendee, Deux-Sevres;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;2;2;2;70 (Deux-Sevres);1200;5;70;oui;cr2;1160;1200;poit.;poit.;g. sud-ouest;poit.;poit.;g. sud-ouest;roman antique;thebefrag;VRAI;1200
thibo;1;2;3;0.333333333333333;209;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;87 (Langres et env.);1290;61;87;oui;ms2;1290;1290;bourg.;bourg.;g. sud-est;bourg.;bourg.;g. sud-est;vie de Saint;thibo;VRAI;1290
trib;13;10;23;0.565217391304348;292;nil;Nievre, Allier;Nievre, Allier;28;NA;28;28;nil;1275;85;69;oui;ms1;1188;1275;Ouest;Ouest;g. ouest;nil;nil;NA;roman breton;#N/A;FAUX;1275
troi;0;12;12;0;142;Marne;Marne;Marne;18;18;18;18;81 (Marne ouest);1287;52;81;non;ms1;1288;1288;champ.;champ.;g. nord-est;Marne;Marne;g. nord-est;version adaptee de Benoit de Sainte Marne;troi;VRAI;1288
troifr;2;0;2;1;6;nil;Angleterre;Angleterre;29;NA;29;29;nil;1190;86;58;oui;cr1;1170;1190;poit.;poit.;g. sud-ouest;Angleterre;agn.;agn.;roman epique;#N/A;FAUX;1190
turp;1;1;2;0.5;8;nil;Vendee, Deux-Sevres;Vendee, Deux-Sevres;2;NA;2;2;nil;1250;1;66;non;ms;1217;1275;saint.;saint.;g. sud-ouest;poit.;poit.;g. sud-ouest;chronique historique;#N/A;FAUX;1275
vache;57;10;67;0.850746268656716;103;Aisne;Aisne;Aisne;13;13;13;13;91 (Aisne);nil;37;91;oui;ms1;1290;1300;champ.;champ.;g. nord-est;Aisne;Aisne;g. Nord;nil;vache;VRAI;1300
vcou;8;1;9;0.888888888888889;87;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;82 (Pas-de-Calais sud-est);1290;29;82;oui;cr1;1250;1290;pic. orient.;pic.;g. nord;art.;art.;g. Nord;nil;vcou;VRAI;1290
vergia;22;2;24;0.916666666666667;95;Oise;Oise;Oise;12;12;12;12;71 (Oise);1300;32;71;oui;ms1;1240;1289;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;conte courtois en octosyllabes;vergia;VRAI;1289
vergib;22;8;30;0.733333333333333;40;Normandie;Normandie;Normandie;10;10;10;10;83 (Eure);1290;24;83;oui;ms1;1240;1300;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;conte courtois en octosyllabes.;vergib;VRAI;1300
vergic;22;1;23;0.956521739130435;165;Yonne;Yonne;Yonne;20;20;20;20;80 (Yonne);1290;58;80;oui;ms1;1240;1288;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;conte courtois en octosyllabes;vergic;VRAI;1288
vergie;17;5;22;0.772727272727273;187;Aube;Aube;Aube;21;21;21;21;82 (Aube);1310;59;82;oui;ms1;1240;1310;norm.;norm.;g. nord-ouest;champ. merid.;champ.;g. nord-est;conte courtois en octosyllabes.;vergie;VRAI;1310
vergif;24;0;24;1;41;Normandie;Normandie;Normandie;10;10;10;10;81 (Normandie);1310;22;81;oui;ms1;1240;1318;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;conte courtois en actosyllabes.;vergif;VRAI;1318
vergig;18;8;26;0.692307692307692;104;Aisne;Aisne;Aisne;13;13;13;13;88 (Aisne);1290;37;88;oui;ms1;1240;1290;norm.;norm.;g. nord-ouest;nil;nil;NA;conte courtois en octosyllabes;vergig;VRAI;1290
vergih;20;1;21;0.952380952380952;210;Haute-Marne;Haute-Marne;Haute-Marne;22;22;22;22;85 (Chaumont et env.);1350;63;85;oui;ms1;1240;1310;norm.;norm.;g. nord-ouest;nil;nil;NA;conte courtois en octosyllabes;vergih;VRAI;1310
vergii;17;0;17;1;42;Normandie;Normandie;Normandie;10;10;10;10;85 (Eure);1300;24;85;oui;ms1;1240;1300;norm.;norm.;g. nord-ouest;norm.;norm.;g. nord-ouest;conte courtois en octosyllabes;vergii;VRAI;1300
vergik;22;0;22;1;105;Aisne;Aisne;Aisne;13;13;13;13;81 (Aisne);1350;37;81;oui;ms1;1240;1350;norm.;norm.;g. nord-ouest;pic.;pic.;g. nord;conte courtois en octosyllabes;vergik;VRAI;1350
vergil;19;1;20;0.95;160;Region parisienne;Region parisienne;Region parisienne;19;19;19;19;86 (region parisienne);1325;54;86;oui;ms1;1240;1325;norm.;norm.;g. nord-ouest;frc.;frc.;g. francien;conte courtois en octosyllabes;vergil;VRAI;1325
vilea;0;3;3;0;225;Bourgogne;Bourgogne;Bourgogne;27;27;27;27;76 (Cote-d'Or sud + Saine-et-Loire);1375;84;76;non;cr2;1205;1375;champ.;champ.;g. nord-est;nil;nil;NA;chronique historique;vilea;VRAI;1375
vilhar;0;5;5;0;106;Aisne;Aisne;Aisne;13;13;13;13;90 (Aisne);1290;37;90;non;ms1;1205;1290;champ.;champ.;g. nord-est;frc.;frc.;g. francien;chronique historique;vilhar;VRAI;1290
wita;2;1;3;0.666666666666667;88;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;77 (Pas-de-Calais sud-est);1250;29;77;oui;ms3;1238;1285;pic.;pic.;g. nord;pic.;pic.;g. nord;nil;wita;VRAI;1285
yonecH;0;2;2;0;264;nil;Angleterre;Angleterre;29;NA;29;29;nil;nil;86;nil;oui;ms;1165;1275;agn.;agn.;agn.;agn.;agn.;agn.;lais bretons;#N/A;FAUX;1275
yonecQ;1;0;1;1;266;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms;1165;1339;agn.;agn.;agn.;frc.;frc.;g. francien;lai breton;#N/A;FAUX;1339
yonecS;1;0;1;1;267;nil;nil;Angleterre;NA;NA;29;29;nil;nil;nil;nil;oui;ms;1165;1300;agn.;agn.;agn.;frc.;frc.;g. francien;lai breton;#N/A;FAUX;1300
yva;4;6;10;0.4;179;nil;Haute-Marne;Haute-Marne;22;NA;22;22;nil;1290;63;60;oui;ms1;1177;1283;champ. merid.;champ.;g. nord-est;hain.;hain.;g. nord;roman arthurien en octosyllabes;#N/A;FAUX;1283
yvf;7;5;12;0.583333333333333;180;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1177;1237;champ. merid.;champ.;g. nord-est;pic.;pic.;g. nord;roman arthurien en octosyllabes;#N/A;FAUX;1237
yvg;5;4;9;0.555555555555556;188;Aube;Aube;Aube;21;21;21;21;74 (Aube);1250;59;74;oui;ms1;1177;1250;champ. merid.;champ.;g. nord-est;champ.;champ.;g. nord-est;roman arthurien en octosyllabes;yvg;VRAI;1250
yvh;8;1;9;0.888888888888889;181;nil;nil;Aube;NA;NA;21;21;nil;nil;nil;nil;oui;ms1;1177;1235;champ. merid.;champ.;g. nord-est;champ.;champ.;g. nord-est;roman arthurien en octosyllabes;yvh;VRAI;1235
yvp;8;6;14;0.571428571428571;89;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;86 (Somme, Pas-de-Calais);1250;26;86;oui;ms;1177;1317;champ. merid.;champ.;g. nord-est;pic.;pic.;g. nord;roman arthurien en octosyllabes;yvp;VRAI;1317
yvs;4;3;7;0.571428571428571;90;Somme, Pas-de-Calais;Somme, Pas-de-Calais;Somme, Pas-de-Calais;11;11;11;11;79 (Pas-de-Calais centre + nord);1310;31;79;oui;ms1;1177;1300;champ. merid.;champ.;g. nord-est;nil;nil;NA;roman arthurien en octosyllabes;yvs;VRAI;1300
yvv;3;4;7;0.428571428571429;245;Nievre, Allier;Nievre, Allier;Nievre, Allier;28;28;28;28;74 (Nievre, Allier);1275;85;74;oui;ms1;1177;1290;champ. merid.;champ.;g. nord-est;frc.;frc.;g. francien;roman arthurien en octosyllabes;yvv;VRAI;1290
yzop;23;14;37;0.621621621621622;222;Franche-Comte;Franche-Comte;Franche-Comte;26;26;26;26;95 (Franche-Comte);1300;77;95;oui;ms;1275;1290;Est;est;g. est;frcomt.;frcomt.;g. sud-est;fables esopiennes;yzop;VRAI;1290
